name,pos,team,adp,points,ceiling,floor,ecr_sd,ecr_best,ecr_worst,bye,yahoo_id
Jordan Addison,WR,MIN,108.6,119.0,158.8,99.7,14.13,68,149,6,NA
Rachaad White,RB,WAS,109.0,116.3,166.8,95.9,14.86,75,141,7,NA
Jayden Reed,WR,GB,109.7,117.1,155.9,99.7,13.54,76,149,11,NA
Stefon Diggs,WR,WAS,111.6,115.1,160.5,68.4,38.04,60,223,7,NA
Blake Corum,RB,LAR,112.8,113.4,149.2,90.0,13.44,84,145,11,NA
Kyler Murray,QB,MIN,113.3,241.4,296.2,203.6,9.12,92,134,6,NA
Jake Ferguson,TE,DAL,113.4,128.2,160.0,100.0,15.91,73,160,14,NA
Aaron Jones Sr.,RB,MIN,113.7,110.9,157.3,95.9,13.47,77,141,6,NA
Dalton Kincaid,TE,BUF,114.6,122.7,143.9,102.3,14.17,95,155,7,NA
Isaiah Likely,TE,NYG,116.7,117.2,143.9,83.0,25.51,85,229,8,NA
Baker Mayfield,QB,TB,117.5,232.9,309.0,203.6,9.55,74,136,10,NA
Jordan Love,QB,GB,119.3,224.2,296.2,183.5,9.6,92,145,11,NA
Jacory Croskey-Merritt,RB,WAS,119.5,108.5,157.3,95.9,13.21,78,143,7,NA
Khalil Shakir,WR,BUF,120.3,113.1,148.5,89.7,16.98,83,173,7,NA
Dallas Goedert,TE,PHI,122.3,112.8,143.9,100.0,16.33,87,158,10,NA
Tyler Shough,QB,NO,122.5,214.3,263.6,158.3,14.13,104,195,8,NA
Jordan Mason,RB,MIN,122.5,105.7,149.2,88.0,13.87,84,146,6,NA
Jayden Higgins,WR,HOU,122.8,111.1,127.5,87.2,13.21,94,176,8,NA
Jalen Coker,WR,CAR,125.3,109.3,132.8,95.2,13.93,90,163,5,NA
Xavier Worthy,WR,KC,127.1,107.2,132.8,87.2,13.27,90,180,5,NA
Mark Andrews,TE,BAL,127.5,108.9,143.9,98.0,20.12,95,173,13,NA
Romeo Doubs,WR,NE,129.4,105.3,127.5,92.1,13.92,96,170,11,NA
Malik Willis,QB,MIA,130.2,203.6,280.6,103.6,23.63,101,300,6,NA
Matthew Golden,WR,GB,131.5,103.9,148.5,84.4,17.42,82,183,11,NA
KC Concepcion,WR,CLE,131.6,102.6,132.8,34.8,30.01,90,298,11,NA
Tyrone Tracy Jr.,RB,NYG,132.1,102.7,113.4,72.6,10.77,113,177,8,NA
Tyler Allgeier,RB,ARI,139.4,99.3,125.7,80.1,11.82,103,164,14,NA
Woody Marks,RB,HOU,140.4,95.9,134.7,72.6,12.45,99,175,8,NA
C.J. Stroud,QB,HOU,140.9,192.4,263.6,150.9,17.22,104,214,8,NA
Sam Darnold,QB,SEA,141.9,183.5,232.9,150.9,13.57,119,203,11,NA
Deebo Samuel Sr.,WR,SF,142.0,101.0,148.5,65.0,34.85,83,241,8,NA
Chris Rodriguez Jr.,RB,JAC,143.1,92.7,110.9,33.1,20.38,118,263,7,NA
Zach Charbonnet,RB,SEA,143.6,90.0,129.9,42.6,19.97,102,245,11,NA
Juwan Johnson,TE,NO,143.9,105.3,133.3,88.3,21.06,106,209,8,NA
Tyjae Spears,RB,TEN,145.8,88.0,125.7,46.6,17.52,103,228,9,NA
Rashid Shaheed,WR,SEA,146.8,99.7,113.1,77.0,14.62,121,208,11,NA
Alvin Kamara,RB,NO,148.8,86.6,125.7,52.1,17.47,103,214,8,NA
Dylan Sampson,RB,CLE,149.6,84.8,125.7,57.0,17.35,103,203,11,NA
Isiah Pacheco,RB,DET,151.6,82.4,110.9,70.6,12.45,118,189,6,NA
Cam Ward,QB,TEN,152.3,174.0,214.3,136.7,21.15,125,246,9,NA
Houston Texans,DST,HOU,153.1,119.5,119.5,119.5,5.59,144,177,8,NA
Chig Okonkwo,TE,WAS,153.4,102.3,133.3,83.0,26.85,111,229,7,NA
Keaton Mitchell,RB,LAC,155.5,80.1,108.5,28.2,27.44,122,275,7,NA
Brenton Strange,TE,JAC,156.6,100.0,133.3,79.8,25.26,111,236,7,NA
Denzel Boston,WR,CLE,157.3,98.4,115.1,33.6,31.44,115,304,11,NA
Jauan Jennings,WR,MIN,157.7,96.8,127.5,41.9,28.04,94,283,6,NA
Daniel Jones,QB,IND,159.3,166.6,248.2,108.6,33.56,113,295,13,NA
Jerry Jeudy,WR,CLE,160.6,95.2,115.1,46.3,23.44,115,269,11,NA
Denver Broncos,DST,DEN,163.6,119.0,119.0,119.0,7.42,150,211,10,NA
Jonah Coleman,RB,DEN,165.7,77.7,105.7,8.6,32.36,127,322,10,NA
Bryce Young,QB,CAR,165.9,158.3,203.6,125.1,21.76,134,276,5,NA
Hunter Henry,TE,NE,166.3,98.0,108.9,83.0,22.34,131,228,11,NA
Seattle Seahawks,DST,SEA,167.4,118.5,118.5,118.5,5.49,151,195,11,NA
Omar Cooper Jr.,WR,NYJ,167.8,93.6,102.6,34.8,31.69,133,301,13,NA
Los Angeles Rams,DST,LAR,168.2,118.0,118.0,118.0,7.65,149,190,11,NA
Tank Bigsby,RB,PHI,168.3,75.2,105.7,45.5,22.85,132,234,10,NA
Jalen McMillan,WR,TB,169.0,92.1,107.2,38.9,24.54,128,293,10,NA
Brian Robinson Jr.,RB,ATL,170.0,72.6,90.0,45.5,20.52,144,234,11,NA
Adonai Mitchell,WR,NYJ,171.1,90.8,102.6,46.3,24.55,133,270,13,NA
Tre Tucker,WR,LV,172.6,89.7,119.0,41.0,28.44,109,289,13,NA
De'Zhaun Stribling,WR,SF,174.8,88.4,127.5,41.0,42.74,100,290,8,NA
Philadelphia Eagles,DST,PHI,174.9,117.5,117.5,117.5,9.86,157,235,10,NA
Travis Hunter,WR,JAC,175.7,87.2,115.1,39.8,30.86,116,292,7,NA
Oronde Gadsden II,TE,LAC,178.5,96.0,143.9,73.3,35.54,97,246,7,NA
Dalton Schultz,TE,HOU,178.9,93.8,143.9,83.0,25.34,97,229,8,NA
Tre' Harris,WR,LAC,180.3,86.0,111.1,34.8,27.53,123,296,7,NA
Braelon Allen,RB,NYJ,182.3,70.6,102.7,30.8,31.3,135,266,13,NA
Ryan Flournoy,WR,DAL,182.6,84.4,99.7,21.0,25.51,149,327,14,NA
New England Patriots,DST,NE,185.4,117.0,117.0,117.0,10.34,161,235,11,NA
Minnesota Vikings,DST,MIN,186.3,116.5,116.5,116.5,11.44,167,254,6,NA
Brandon Aubrey,K,DAL,186.5,129.5,129.5,129.5,3.51,166,193,14,NA
Pittsburgh Steelers,DST,PIT,187.1,116.0,116.0,116.0,8.65,161,240,9,NA
Jacksonville Jaguars,DST,JAC,188.7,115.5,115.5,115.5,15.36,151,279,7,NA
T.J. Hockenson,TE,MIN,191.2,91.8,112.8,73.3,21.43,124,246,6,NA
Los Angeles Chargers,DST,LAC,191.4,115.0,115.0,115.0,13.8,171,280,7,NA
Jalen Nailor,WR,LV,192.6,83.1,111.1,32.7,42.21,123,305,13,NA
Ka'imi Fairbairn,K,HOU,192.6,129.0,129.0,129.0,4.57,173,216,8,NA
